Wavelength (nm)	Cross section (cm2)
2.3312e+02	2.2748e-19
2.3323e+02	2.1356e-19
2.3335e+02	1.9420e-19
2.3346e+02	1.7912e-19
2.3358e+02	1.6504e-19
2.3369e+02	1.5116e-19
2.3381e+02	1.4012e-19
2.3392e+02	1.3520e-19
2.3404e+02	1.3104e-19
2.3416e+02	1.2900e-19
2.3427e+02	1.2852e-19
2.3439e+02	1.2468e-19
2.3450e+02	1.1500e-19
2.3462e+02	1.0348e-19
2.3473e+02	1.0720e-19
2.3485e+02	1.2240e-19
2.3496e+02	1.4096e-19
2.3508e+02	1.5056e-19
2.3519e+02	1.6864e-19
2.3531e+02	1.9552e-19
2.3542e+02	2.0728e-19
2.3554e+02	2.0184e-19
2.3565e+02	1.8760e-19
2.3577e+02	1.6440e-19
2.3589e+02	1.5420e-19
2.3600e+02	1.4100e-19
2.3612e+02	1.3140e-19
2.3623e+02	1.3688e-19
2.3635e+02	1.4440e-19
2.3646e+02	1.5416e-19
2.3658e+02	1.5672e-19
2.3669e+02	1.5444e-19
2.3681e+02	1.5060e-19
2.3692e+02	1.4836e-19
2.3704e+02	1.5060e-19
2.3715e+02	1.5500e-19
2.3727e+02	1.6092e-19
2.3738e+02	1.7132e-19
2.3750e+02	1.7900e-19
2.3761e+02	1.8076e-19
2.3773e+02	1.7260e-19
2.3784e+02	1.6164e-19
2.3796e+02	1.4848e-19
2.3807e+02	1.3448e-19
2.3819e+02	1.2076e-19
2.3830e+02	1.1140e-19
2.3842e+02	1.0064e-19
2.3853e+02	9.0404e-20
2.3865e+02	8.6040e-20
2.3876e+02	7.6864e-20
2.3888e+02	7.1236e-20
2.3899e+02	8.3028e-20
2.3911e+02	1.1041e-19
2.3922e+02	1.1932e-19
2.3934e+02	1.2100e-19
2.3945e+02	1.1200e-19
2.3957e+02	1.0102e-19
2.3968e+02	9.3008e-20
2.3980e+02	8.2600e-20
2.3991e+02	7.2616e-20
2.4003e+02	6.4144e-20
2.4014e+02	5.5412e-20
2.4026e+02	5.6860e-20
2.4037e+02	4.7620e-20
2.4049e+02	3.8000e-20
2.4060e+02	2.8240e-20
2.4072e+02	2.9116e-20
2.4083e+02	2.7988e-20
2.4095e+02	2.6560e-20
2.4106e+02	2.2992e-20
2.4118e+02	1.7012e-20
2.4129e+02	1.7684e-20
2.4141e+02	2.2080e-20
2.4152e+02	1.6360e-20
2.4164e+02	2.9392e-20
2.4175e+02	2.6400e-20
2.4187e+02	3.9936e-20
2.4198e+02	6.8976e-20
2.4210e+02	1.0848e-19
2.4221e+02	1.3332e-19
2.4233e+02	1.4356e-19
2.4244e+02	1.3200e-19
2.4256e+02	1.1328e-19
2.4267e+02	9.7828e-20
2.4279e+02	7.8308e-20
2.4290e+02	6.6520e-20
2.4302e+02	6.1976e-20
2.4313e+02	6.3064e-20
2.4325e+02	6.7000e-20
2.4336e+02	5.5472e-20
2.4347e+02	5.0556e-20
2.4359e+02	4.1436e-20
2.4370e+02	3.7640e-20
2.4382e+02	3.4064e-20
2.4393e+02	2.9004e-20
2.4405e+02	2.4180e-20
2.4416e+02	2.2964e-20
2.4428e+02	2.5148e-20
2.4439e+02	2.2740e-20
2.4451e+02	1.8404e-20
2.4462e+02	2.3948e-20
2.4474e+02	3.7172e-20
2.4485e+02	4.8460e-20
2.4497e+02	4.5300e-20
2.4508e+02	3.9916e-20
2.4519e+02	3.1920e-20
2.4531e+02	2.8704e-20
2.4542e+02	2.7852e-20
2.4554e+02	2.0364e-20
2.4565e+02	1.7780e-20
2.4577e+02	2.1380e-20
2.4588e+02	2.6700e-20
2.4600e+02	4.3500e-20
2.4611e+02	4.0860e-20
2.4623e+02	3.3948e-20
2.4634e+02	2.9748e-20
2.4645e+02	2.9740e-20
2.4657e+02	2.5684e-20
2.4668e+02	2.0448e-20
2.4680e+02	1.9200e-20
2.4691e+02	1.9568e-20
2.4703e+02	1.7672e-20
2.4714e+02	1.5592e-20
2.4726e+02	1.2784e-20
2.4737e+02	1.4808e-20
2.4749e+02	1.8304e-20
2.4760e+02	1.5320e-20
2.4771e+02	1.2732e-20
2.4783e+02	1.0473e-20
2.4794e+02	8.7028e-21
2.4806e+02	8.8612e-21
2.4817e+02	1.1620e-20
2.4829e+02	1.3060e-20
2.4840e+02	1.0900e-20
2.4851e+02	1.4468e-20
2.4863e+02	1.4116e-20
2.4874e+02	1.4468e-20
2.4886e+02	9.2728e-21
2.4897e+02	1.2542e-20
2.4909e+02	3.2016e-20
2.4920e+02	5.6020e-20
2.4931e+02	6.2116e-20
2.4943e+02	4.9460e-20
2.4954e+02	3.8740e-20
2.4966e+02	3.3544e-20
2.4977e+02	2.7656e-20
2.4989e+02	1.7828e-20
2.5000e+02	2.8300e-20
2.5011e+02	1.5804e-20
2.5023e+02	1.7880e-20
2.5034e+02	1.7016e-20
2.5046e+02	1.5380e-20
2.5057e+02	1.4452e-20
2.5069e+02	1.3164e-20
2.5080e+02	1.3020e-20
2.5091e+02	1.4016e-20
2.5103e+02	1.3248e-20
2.5114e+02	1.1632e-20
2.5126e+02	1.2784e-20
2.5137e+02	1.4808e-20
2.5149e+02	1.1496e-20
2.5160e+02	7.8960e-21
2.5171e+02	1.1102e-20
2.5183e+02	1.3512e-20
2.5194e+02	1.1268e-20
2.5206e+02	8.7524e-21
2.5217e+02	9.9064e-21
2.5228e+02	1.3092e-20
2.5240e+02	1.5600e-20
2.5251e+02	1.5664e-20
2.5263e+02	1.6236e-20
2.5274e+02	1.2628e-20
2.5285e+02	1.6460e-20
2.5297e+02	2.0844e-20
2.5308e+02	1.5500e-20
2.5320e+02	1.2800e-20
2.5331e+02	1.3928e-20
2.5342e+02	1.4356e-20
2.5354e+02	1.1732e-20
2.5365e+02	8.2600e-21
2.5377e+02	1.5396e-20
2.5388e+02	2.0128e-20
2.5399e+02	2.0744e-20
2.5411e+02	1.5608e-20
2.5422e+02	1.6876e-20
2.5434e+02	1.2388e-20
2.5445e+02	1.2860e-20
2.5456e+02	1.5028e-20
2.5468e+02	1.7888e-20
2.5479e+02	1.8304e-20
2.5491e+02	1.3420e-20
2.5502e+02	1.3609e-20
2.5513e+02	9.2408e-21
2.5525e+02	1.6700e-20
2.5536e+02	1.5116e-20
2.5547e+02	1.6572e-20
2.5559e+02	1.3356e-20
2.5570e+02	1.3220e-20
2.5582e+02	1.4772e-20
2.5593e+02	1.3320e-20
2.5604e+02	1.4000e-20
2.5616e+02	1.9876e-20
2.5627e+02	1.7084e-20
2.5639e+02	1.5572e-20
2.5650e+02	2.0500e-20
2.5661e+02	1.6188e-20
2.5673e+02	1.0619e-20
2.5684e+02	1.0484e-20
2.5695e+02	1.2360e-20
2.5707e+02	1.3176e-20
2.5718e+02	1.5156e-20
2.5730e+02	1.6380e-20
2.5741e+02	1.2952e-20
2.5752e+02	1.0240e-20
2.5764e+02	1.1956e-20
2.5775e+02	1.5300e-20
2.5786e+02	1.6884e-20
2.5798e+02	1.6512e-20
2.5809e+02	1.7480e-20
2.5820e+02	1.6520e-20
2.5832e+02	1.5208e-20
2.5843e+02	1.7848e-20
2.5855e+02	1.9200e-20
2.5866e+02	1.7784e-20
2.5877e+02	2.1448e-20
2.5889e+02	1.2136e-20
2.5900e+02	1.9000e-20
