Wavelength (nm)	Cross section (cm2)
2.3312e+02	2.0745e-18
2.3323e+02	1.8654e-18
2.3335e+02	1.9888e-18
2.3346e+02	1.9226e-18
2.3358e+02	1.9002e-18
2.3369e+02	1.9956e-18
2.3381e+02	1.9490e-18
2.3392e+02	1.8820e-18
2.3404e+02	2.0126e-18
2.3416e+02	1.9660e-18
2.3427e+02	1.7610e-18
2.3439e+02	1.8479e-18
2.3450e+02	1.8690e-18
2.3462e+02	1.8421e-18
2.3473e+02	1.8654e-18
2.3485e+02	1.7836e-18
2.3496e+02	1.7620e-18
2.3508e+02	1.7268e-18
2.3519e+02	1.7673e-18
2.3531e+02	1.8014e-18
2.3542e+02	1.7974e-18
2.3554e+02	1.8899e-18
2.3565e+02	1.9384e-18
2.3577e+02	1.6573e-18
2.3589e+02	1.7114e-18
2.3600e+02	1.4430e-18
2.3612e+02	1.7924e-18
2.3623e+02	1.8482e-18
2.3635e+02	1.6968e-18
2.3646e+02	1.7216e-18
2.3658e+02	1.7981e-18
2.3669e+02	1.8178e-18
2.3681e+02	1.7410e-18
2.3692e+02	1.7047e-18
2.3704e+02	1.6471e-18
2.3715e+02	1.4612e-18
2.3727e+02	1.7604e-18
2.3738e+02	1.4354e-18
2.3750e+02	1.3980e-18
2.3761e+02	1.1630e-18
2.3773e+02	1.4124e-18
2.3784e+02	1.3083e-18
2.3796e+02	1.6115e-18
2.3807e+02	1.8060e-18
2.3819e+02	1.5011e-18
2.3830e+02	1.3642e-18
2.3842e+02	1.5318e-18
2.3853e+02	1.4907e-18
2.3865e+02	1.7176e-18
2.3876e+02	1.4811e-18
2.3888e+02	1.5359e-18
2.3899e+02	1.4462e-18
2.3911e+02	1.4486e-18
2.3922e+02	1.4850e-18
2.3934e+02	1.4362e-18
2.3945e+02	1.3782e-18
2.3957e+02	1.5045e-18
2.3968e+02	1.6783e-18
2.3980e+02	1.5872e-18
2.3991e+02	1.3956e-18
2.4003e+02	1.4720e-18
2.4014e+02	1.2728e-18
2.4026e+02	1.2034e-18
2.4037e+02	1.4278e-18
2.4049e+02	1.3938e-18
2.4060e+02	1.4356e-18
2.4072e+02	1.5238e-18
2.4083e+02	1.4066e-18
2.4095e+02	1.2292e-18
2.4106e+02	1.1717e-18
2.4118e+02	1.3067e-18
2.4129e+02	1.3451e-18
2.4141e+02	1.1403e-18
2.4152e+02	1.3132e-18
2.4164e+02	1.4720e-18
2.4175e+02	1.5530e-18
2.4187e+02	1.3908e-18
2.4198e+02	1.1866e-18
2.4210e+02	1.3698e-18
2.4221e+02	1.2040e-18
2.4233e+02	1.2318e-18
2.4244e+02	1.3278e-18
2.4256e+02	1.4032e-18
2.4267e+02	1.4205e-18
2.4279e+02	1.3018e-18
2.4290e+02	1.2084e-18
2.4302e+02	1.1938e-18
2.4313e+02	1.1576e-18
2.4325e+02	1.3170e-18
2.4336e+02	1.2519e-18
2.4347e+02	1.4421e-18
2.4359e+02	1.2811e-18
2.4370e+02	1.3386e-18
2.4382e+02	1.4613e-18
2.4393e+02	1.4239e-18
2.4405e+02	1.3100e-18
2.4416e+02	1.2374e-18
2.4428e+02	1.2249e-18
2.4439e+02	1.2863e-18
2.4451e+02	1.2687e-18
2.4462e+02	1.2106e-18
2.4474e+02	1.3966e-18
2.4485e+02	1.2850e-18
2.4497e+02	1.1808e-18
2.4508e+02	1.2668e-18
2.4519e+02	1.1626e-18
2.4531e+02	9.9517e-19
2.4542e+02	1.0403e-18
2.4554e+02	1.1112e-18
2.4565e+02	1.0268e-18
2.4577e+02	1.0103e-18
2.4588e+02	1.0117e-18
2.4600e+02	1.0040e-18
2.4611e+02	9.5657e-19
2.4623e+02	1.0105e-18
2.4634e+02	9.7369e-19
2.4645e+02	9.6006e-19
2.4657e+02	9.2660e-19
2.4668e+02	9.3394e-19
2.4680e+02	1.0277e-18
2.4691e+02	1.0310e-18
2.4703e+02	8.9295e-19
2.4714e+02	1.0168e-18
2.4726e+02	1.0671e-18
2.4737e+02	9.9144e-19
2.4749e+02	1.0763e-18
2.4760e+02	1.1048e-18
2.4771e+02	1.0243e-18
2.4783e+02	1.0217e-18
2.4794e+02	1.0726e-18
2.4806e+02	1.0866e-18
2.4817e+02	1.0482e-18
2.4829e+02	1.0476e-18
2.4840e+02	1.1102e-18
2.4851e+02	1.0074e-18
2.4863e+02	1.0150e-18
2.4874e+02	1.0801e-18
2.4886e+02	1.0842e-18
2.4897e+02	1.1395e-18
2.4909e+02	1.1037e-18
2.4920e+02	1.0271e-18
2.4931e+02	9.6936e-19
2.4943e+02	9.4318e-19
2.4954e+02	9.6182e-19
2.4966e+02	1.0193e-18
2.4977e+02	1.0430e-18
2.4989e+02	1.0670e-18
2.5000e+02	1.0520e-18
2.5011e+02	1.0238e-18
2.5023e+02	1.0066e-18
2.5034e+02	1.0054e-18
2.5046e+02	9.9274e-19
2.5057e+02	9.5133e-19
2.5069e+02	9.2812e-19
2.5080e+02	1.0281e-18
2.5091e+02	1.1227e-18
2.5103e+02	9.5063e-19
2.5114e+02	8.1809e-19
2.5126e+02	9.1604e-19
2.5137e+02	1.1475e-18
2.5149e+02	1.0338e-18
2.5160e+02	7.3732e-19
2.5171e+02	9.1825e-19
2.5183e+02	9.9924e-19
2.5194e+02	9.7758e-19
2.5206e+02	9.7528e-19
2.5217e+02	9.9761e-19
2.5228e+02	1.0176e-18
2.5240e+02	9.4964e-19
2.5251e+02	9.8423e-19
2.5263e+02	1.0900e-18
2.5274e+02	9.8083e-19
2.5285e+02	9.4178e-19
2.5297e+02	9.4294e-19
2.5308e+02	9.5085e-19
2.5320e+02	9.3418e-19
2.5331e+02	9.3646e-19
2.5342e+02	9.4291e-19
2.5354e+02	9.3814e-19
2.5365e+02	9.5756e-19
2.5377e+02	9.2788e-19
2.5388e+02	9.5721e-19
2.5399e+02	9.0018e-19
2.5411e+02	9.7851e-19
2.5422e+02	9.6102e-19
2.5434e+02	9.4232e-19
2.5445e+02	9.4244e-19
2.5456e+02	9.5710e-19
2.5468e+02	9.4908e-19
