Wavelength (nm)	Cross section (cm2)
2.3312e+02	7.6860e-19
2.3323e+02	7.6503e-19
2.3335e+02	7.6113e-19
2.3346e+02	7.5755e-19
2.3358e+02	7.5365e-19
2.3369e+02	7.5008e-19
2.3381e+02	7.4617e-19
2.3392e+02	7.4260e-19
2.3404e+02	7.3904e-19
2.3416e+02	7.3616e-19
2.3427e+02	7.3352e-19
2.3439e+02	7.3064e-19
2.3450e+02	7.2800e-19
2.3462e+02	7.2512e-19
2.3473e+02	7.2248e-19
2.3485e+02	7.1960e-19
2.3496e+02	7.1696e-19
2.3508e+02	7.1408e-19
2.3519e+02	7.1144e-19
2.3531e+02	7.0856e-19
2.3542e+02	7.0592e-19
2.3554e+02	7.0304e-19
2.3565e+02	7.0040e-19
2.3577e+02	6.9752e-19
2.3589e+02	6.9464e-19
2.3600e+02	6.9200e-19
2.3612e+02	6.8924e-19
2.3623e+02	6.8671e-19
2.3635e+02	6.8395e-19
2.3646e+02	6.8142e-19
2.3658e+02	6.7866e-19
2.3669e+02	6.7613e-19
2.3681e+02	6.7337e-19
2.3692e+02	6.7084e-19
2.3704e+02	6.6808e-19
2.3715e+02	6.6555e-19
2.3727e+02	6.6279e-19
2.3738e+02	6.6026e-19
2.3750e+02	6.5750e-19
2.3761e+02	6.5497e-19
2.3773e+02	6.5221e-19
2.3784e+02	6.4968e-19
2.3796e+02	6.4692e-19
2.3807e+02	6.4432e-19
2.3819e+02	6.4144e-19
2.3830e+02	6.3880e-19
2.3842e+02	6.3592e-19
2.3853e+02	6.3328e-19
2.3865e+02	6.3040e-19
2.3876e+02	6.2776e-19
2.3888e+02	6.2488e-19
2.3899e+02	6.2224e-19
2.3911e+02	6.1936e-19
2.3922e+02	6.1672e-19
2.3934e+02	6.1384e-19
2.3945e+02	6.1120e-19
2.3957e+02	6.0832e-19
2.3968e+02	6.0568e-19
2.3980e+02	6.0280e-19
2.3991e+02	6.0016e-19
2.4003e+02	5.9700e-19
2.4014e+02	5.9331e-19
2.4026e+02	5.8929e-19
2.4037e+02	5.8560e-19
2.4049e+02	5.8158e-19
2.4060e+02	5.7790e-19
2.4072e+02	5.7388e-19
2.4083e+02	5.7019e-19
2.4095e+02	5.6618e-19
2.4106e+02	5.6249e-19
2.4118e+02	5.5847e-19
2.4129e+02	5.5479e-19
2.4141e+02	5.5077e-19
2.4152e+02	5.4708e-19
2.4164e+02	5.4306e-19
2.4175e+02	5.3937e-19
2.4187e+02	5.3535e-19
2.4198e+02	5.3167e-19
2.4210e+02	5.2910e-19
2.4221e+02	5.2701e-19
2.4233e+02	5.2473e-19
2.4244e+02	5.2264e-19
2.4256e+02	5.2036e-19
2.4267e+02	5.1827e-19
2.4279e+02	5.1599e-19
2.4290e+02	5.1390e-19
2.4302e+02	5.1162e-19
2.4313e+02	5.0953e-19
2.4325e+02	5.0725e-19
2.4336e+02	5.0516e-19
2.4347e+02	5.0307e-19
2.4359e+02	5.0079e-19
2.4370e+02	4.9870e-19
2.4382e+02	4.9642e-19
2.4393e+02	4.9433e-19
2.4405e+02	4.9207e-19
2.4416e+02	4.9004e-19
2.4428e+02	4.8782e-19
2.4439e+02	4.8579e-19
2.4451e+02	4.8357e-19
2.4462e+02	4.8153e-19
2.4474e+02	4.7931e-19
2.4485e+02	4.7728e-19
2.4497e+02	4.7505e-19
2.4508e+02	4.7302e-19
2.4519e+02	4.7099e-19
2.4531e+02	4.6877e-19
2.4542e+02	4.6673e-19
2.4554e+02	4.6451e-19
2.4565e+02	4.6247e-19
2.4577e+02	4.6025e-19
2.4588e+02	4.5822e-19
2.4600e+02	4.5600e-19
2.4611e+02	4.5396e-19
2.4623e+02	4.5175e-19
2.4634e+02	4.4971e-19
2.4645e+02	4.4768e-19
2.4657e+02	4.4546e-19
2.4668e+02	4.4342e-19
2.4680e+02	4.4120e-19
2.4691e+02	4.3917e-19
2.4703e+02	4.3694e-19
2.4714e+02	4.3491e-19
2.4726e+02	4.3269e-19
2.4737e+02	4.3065e-19
2.4749e+02	4.2843e-19
2.4760e+02	4.2640e-19
2.4771e+02	4.2436e-19
2.4783e+02	4.2214e-19
2.4794e+02	4.2011e-19
2.4806e+02	4.1801e-19
2.4817e+02	4.1620e-19
2.4829e+02	4.1422e-19
2.4840e+02	4.1240e-19
2.4851e+02	4.1059e-19
2.4863e+02	4.0861e-19
2.4874e+02	4.0679e-19
2.4886e+02	4.0481e-19
2.4897e+02	4.0300e-19
2.4909e+02	4.0101e-19
2.4920e+02	3.9920e-19
2.4931e+02	3.9738e-19
2.4943e+02	3.9540e-19
2.4954e+02	3.9359e-19
2.4966e+02	3.9161e-19
2.4977e+02	3.8979e-19
2.4989e+02	3.8782e-19
2.5000e+02	3.8600e-19
2.5011e+02	3.8429e-19
2.5023e+02	3.8244e-19
2.5034e+02	3.8073e-19
2.5046e+02	3.7887e-19
2.5057e+02	3.7717e-19
2.5069e+02	3.7531e-19
2.5080e+02	3.7360e-19
2.5091e+02	3.7190e-19
2.5103e+02	3.7003e-19
2.5114e+02	3.6833e-19
2.5126e+02	3.6647e-19
2.5137e+02	3.6476e-19
2.5149e+02	3.6290e-19
2.5160e+02	3.6120e-19
2.5171e+02	3.5949e-19
2.5183e+02	3.5763e-19
2.5194e+02	3.5593e-19
2.5206e+02	3.5413e-19
2.5217e+02	3.5254e-19
2.5228e+02	3.5094e-19
2.5240e+02	3.4920e-19
2.5251e+02	3.4761e-19
2.5263e+02	3.4587e-19
2.5274e+02	3.4427e-19
2.5285e+02	3.4268e-19
2.5297e+02	3.4094e-19
2.5308e+02	3.3934e-19
2.5320e+02	3.3760e-19
2.5331e+02	3.3600e-19
2.5342e+02	3.3441e-19
2.5354e+02	3.3267e-19
2.5365e+02	3.3107e-19
2.5377e+02	3.2933e-19
2.5388e+02	3.2774e-19
2.5399e+02	3.2614e-19
2.5411e+02	3.2451e-19
