Wavelength (nm)	Cross section (cm2)
2.3312e+02	6.9520e-19
2.3323e+02	6.9080e-19
2.3335e+02	6.8600e-19
2.3346e+02	6.8160e-19
2.3358e+02	6.7680e-19
2.3369e+02	6.7240e-19
2.3381e+02	6.6760e-19
2.3392e+02	6.6320e-19
2.3404e+02	6.5840e-19
2.3416e+02	6.5360e-19
2.3427e+02	6.4920e-19
2.3439e+02	6.4440e-19
2.3450e+02	6.4000e-19
2.3462e+02	6.3520e-19
2.3473e+02	6.3080e-19
2.3485e+02	6.2600e-19
2.3496e+02	6.2160e-19
2.3508e+02	6.1680e-19
2.3519e+02	6.1240e-19
2.3531e+02	6.0760e-19
2.3542e+02	6.0320e-19
2.3554e+02	5.9840e-19
2.3565e+02	5.9400e-19
2.3577e+02	5.8920e-19
2.3589e+02	5.8440e-19
2.3600e+02	5.8000e-19
2.3612e+02	5.7520e-19
2.3623e+02	5.7080e-19
2.3635e+02	5.6600e-19
2.3646e+02	5.6160e-19
2.3658e+02	5.5680e-19
2.3669e+02	5.5240e-19
2.3681e+02	5.4760e-19
2.3692e+02	5.4320e-19
2.3704e+02	5.3840e-19
2.3715e+02	5.3400e-19
2.3727e+02	5.2920e-19
2.3738e+02	5.2480e-19
2.3750e+02	5.2000e-19
2.3761e+02	5.1560e-19
2.3773e+02	5.1080e-19
2.3784e+02	5.0640e-19
2.3796e+02	5.0160e-19
2.3807e+02	4.9755e-19
2.3819e+02	4.9335e-19
2.3830e+02	4.8950e-19
2.3842e+02	4.8530e-19
2.3853e+02	4.8145e-19
2.3865e+02	4.7725e-19
2.3876e+02	4.7340e-19
2.3888e+02	4.6920e-19
2.3899e+02	4.6535e-19
2.3911e+02	4.6115e-19
2.3922e+02	4.5730e-19
2.3934e+02	4.5310e-19
2.3945e+02	4.4925e-19
2.3957e+02	4.4505e-19
2.3968e+02	4.4120e-19
2.3980e+02	4.3700e-19
2.3991e+02	4.3315e-19
2.4003e+02	4.2910e-19
