Wavelength (nm)	Cross section (cm2)
2.3312e+02	0.0000e+00
2.3323e+02	0.0000e+00
2.3335e+02	0.0000e+00
2.3346e+02	0.0000e+00
2.3358e+02	0.0000e+00
2.3369e+02	0.0000e+00
2.3381e+02	0.0000e+00
2.3392e+02	0.0000e+00
2.3404e+02	0.0000e+00
2.3416e+02	0.0000e+00
2.3427e+02	0.0000e+00
2.3439e+02	0.0000e+00
2.3450e+02	0.0000e+00
2.3462e+02	0.0000e+00
2.3473e+02	0.0000e+00
2.3485e+02	0.0000e+00
2.3496e+02	0.0000e+00
2.3508e+02	0.0000e+00
2.3519e+02	0.0000e+00
2.3531e+02	0.0000e+00
2.3542e+02	0.0000e+00
2.3554e+02	0.0000e+00
2.3565e+02	0.0000e+00
2.3577e+02	0.0000e+00
2.3589e+02	0.0000e+00
2.3600e+02	0.0000e+00
2.3612e+02	0.0000e+00
2.3623e+02	0.0000e+00
2.3635e+02	0.0000e+00
2.3646e+02	0.0000e+00
2.3658e+02	0.0000e+00
2.3669e+02	0.0000e+00
2.3681e+02	0.0000e+00
2.3692e+02	0.0000e+00
2.3704e+02	0.0000e+00
2.3715e+02	0.0000e+00
2.3727e+02	0.0000e+00
2.3738e+02	0.0000e+00
2.3750e+02	0.0000e+00
2.3761e+02	0.0000e+00
2.3773e+02	0.0000e+00
2.3784e+02	0.0000e+00
2.3796e+02	0.0000e+00
2.3807e+02	0.0000e+00
2.3819e+02	0.0000e+00
2.3830e+02	0.0000e+00
2.3842e+02	0.0000e+00
2.3853e+02	0.0000e+00
2.3865e+02	0.0000e+00
2.3876e+02	0.0000e+00
2.3888e+02	0.0000e+00
2.3899e+02	0.0000e+00
2.3911e+02	0.0000e+00
2.3922e+02	0.0000e+00
2.3934e+02	0.0000e+00
2.3945e+02	0.0000e+00
2.3957e+02	0.0000e+00
2.3968e+02	0.0000e+00
2.3980e+02	0.0000e+00
2.3991e+02	0.0000e+00
2.4003e+02	0.0000e+00
2.4014e+02	0.0000e+00
2.4026e+02	0.0000e+00
2.4037e+02	0.0000e+00
2.4049e+02	0.0000e+00
2.4060e+02	0.0000e+00
2.4072e+02	0.0000e+00
2.4083e+02	0.0000e+00
2.4095e+02	0.0000e+00
2.4106e+02	0.0000e+00
2.4118e+02	0.0000e+00
2.4129e+02	0.0000e+00
2.4141e+02	0.0000e+00
2.4152e+02	0.0000e+00
2.4164e+02	0.0000e+00
2.4175e+02	0.0000e+00
2.4187e+02	0.0000e+00
2.4198e+02	0.0000e+00
2.4210e+02	0.0000e+00
2.4221e+02	0.0000e+00
2.4233e+02	0.0000e+00
2.4244e+02	0.0000e+00
2.4256e+02	0.0000e+00
2.4267e+02	0.0000e+00
2.4279e+02	0.0000e+00
2.4290e+02	0.0000e+00
2.4302e+02	0.0000e+00
2.4313e+02	0.0000e+00
2.4325e+02	0.0000e+00
2.4336e+02	0.0000e+00
2.4347e+02	0.0000e+00
2.4359e+02	0.0000e+00
2.4370e+02	0.0000e+00
2.4382e+02	0.0000e+00
2.4393e+02	0.0000e+00
2.4405e+02	0.0000e+00
2.4416e+02	0.0000e+00
2.4428e+02	0.0000e+00
2.4439e+02	0.0000e+00
2.4451e+02	0.0000e+00
2.4462e+02	0.0000e+00
2.4474e+02	0.0000e+00
2.4485e+02	0.0000e+00
2.4497e+02	0.0000e+00
2.4508e+02	0.0000e+00
2.4519e+02	0.0000e+00
2.4531e+02	0.0000e+00
2.4542e+02	0.0000e+00
2.4554e+02	0.0000e+00
2.4565e+02	0.0000e+00
2.4577e+02	0.0000e+00
2.4588e+02	0.0000e+00
2.4600e+02	0.0000e+00
2.4611e+02	0.0000e+00
2.4623e+02	0.0000e+00
2.4634e+02	0.0000e+00
2.4645e+02	0.0000e+00
2.4657e+02	0.0000e+00
2.4668e+02	0.0000e+00
2.4680e+02	0.0000e+00
2.4691e+02	0.0000e+00
2.4703e+02	0.0000e+00
2.4714e+02	0.0000e+00
2.4726e+02	0.0000e+00
2.4737e+02	0.0000e+00
2.4749e+02	0.0000e+00
2.4760e+02	0.0000e+00
2.4771e+02	0.0000e+00
2.4783e+02	0.0000e+00
2.4794e+02	0.0000e+00
2.4806e+02	0.0000e+00
2.4817e+02	0.0000e+00
2.4829e+02	0.0000e+00
2.4840e+02	0.0000e+00
2.4851e+02	0.0000e+00
2.4863e+02	0.0000e+00
2.4874e+02	0.0000e+00
2.4886e+02	0.0000e+00
2.4897e+02	0.0000e+00
2.4909e+02	0.0000e+00
2.4920e+02	0.0000e+00
2.4931e+02	0.0000e+00
2.4943e+02	0.0000e+00
2.4954e+02	0.0000e+00
2.4966e+02	0.0000e+00
2.4977e+02	0.0000e+00
2.4989e+02	0.0000e+00
2.5000e+02	0.0000e+00
2.5011e+02	0.0000e+00
2.5023e+02	0.0000e+00
2.5034e+02	0.0000e+00
2.5046e+02	0.0000e+00
2.5057e+02	0.0000e+00
2.5069e+02	0.0000e+00
2.5080e+02	0.0000e+00
2.5091e+02	0.0000e+00
2.5103e+02	0.0000e+00
2.5114e+02	0.0000e+00
2.5126e+02	0.0000e+00
2.5137e+02	0.0000e+00
2.5149e+02	0.0000e+00
2.5160e+02	0.0000e+00
2.5171e+02	0.0000e+00
2.5183e+02	0.0000e+00
2.5194e+02	0.0000e+00
2.5206e+02	0.0000e+00
2.5217e+02	0.0000e+00
2.5228e+02	0.0000e+00
2.5240e+02	0.0000e+00
2.5251e+02	0.0000e+00
2.5263e+02	0.0000e+00
2.5274e+02	0.0000e+00
2.5285e+02	0.0000e+00
2.5297e+02	0.0000e+00
